L value (g1),Actual Luminance (g1),RGB (g1),Lab (g1),L value (g2),Actual Luminance (g2),RGB (g2),Lab (g2),Final Angular Velocity
98.07755292,204.6038214,"(255, 199, 255)","(98.0775529152827, 79.2, -107.86)",81.92976904,204.6038214,"(0, 237, 0)","(81.92976903930649, -86.18, 83.18)",0.1
76.5552564,98.35706869,"(205, 138, 255)","(76.55525640178543, 79.2, -107.86)",63.07525128,98.35706869,"(0, 182, 0)","(63.07525127905392, -86.18, 83.18)",0.1
43.47985588,42.57494924,"(221, 0, 0)","(43.47985588422074, 80, 67)",46.27180525,42.57494924,"(0, 135, 0)","(46.27180525339051, -86.18, 83.18)",-0.2
82.0197358,205.2343085,"(0, 238, 0)","(82.01973580429681, -86.18, 83.18)",98.20765756,205.2343085,"(255, 199, 255)","(98.20765755602808, 79.2, -107.86)",-0.1
74.7216404,134.1688844,"(186, 191, 0)","(74.72164040078009, -21.56, 94.48)",84.66629751,134.1688844,"(232, 161, 255)","(84.66629751378012, 79.2, -107.86)",-0.1
89.88093872,164.372539,"(249, 175, 255)","(89.88093871792545, 79.2, -107.86)",79.66287775,164.372539,"(201, 205, 0)","(79.6628777470296, -21.56, 94.48)",0.1
53.20904255,60.88029892,"(254, 0, 0)","(53.20904254597861, 80, 67)",64.71940897,60.88029892,"(165, 105, 255)","(64.71940896602486, 79.2, -107.86)",-0.6
54.0279137,62.28384408,"(255, 10, 3)","(54.027913701051006, 80, 67)",65.28310793,62.28384408,"(167, 107, 255)","(65.28310793250908, 79.2, -107.86)",-0.8
49.78733483,34.3154161,"(111, 64, 255)","(49.787334828349344, 79.2, -107.86)",46.09042067,34.3154161,"(103, 116, 0)","(46.09042067261447, -21.56, 94.48)",0.1
47.29924927,49.89207453,"(234, 0, 0)","(47.29924927457788, 80, 67)",59.36386152,49.89207453,"(146, 90, 255)","(59.363861524122434, 79.2, -107.86)",-0.2
79.62118792,88.71556361,"(255, 116, 75)","(79.62118792028053, 80, 67)",64.97451797,88.71556361,"(156, 165, 0)","(64.97451797414249, -21.56, 94.48)",-0.1
90.35882102,166.8368347,"(251, 177, 255)","(90.35882101584288, 79.2, -107.86)",80.05504451,166.8368347,"(202, 206, 0)","(80.05504450511398, -21.56, 94.48)",0.1
63.43279241,83.00192869,"(152, 161, 0)","(63.43279241483677, -21.56, 94.48)",59.22984765,83.00192869,"(0, 172, 0)","(59.229847650502684, -86.18, 83.18)",-0.1
68.84141959,106.3115077,"(168, 176, 0)","(68.84141959263177, -21.56, 94.48)",65.03328376,106.3115077,"(0, 188, 0)","(65.03328375747591, -86.18, 83.18)",0
37.87283206,20.56402273,"(83, 96, 0)","(37.87283205637251, -21.56, 94.48)",34.48974939,20.56402273,"(0, 103, 0)","(34.48974938934961, -86.18, 83.18)",0.2
83.79773666,129.9754726,"(229, 158, 255)","(83.79773666429354, 79.2, -107.86)",94.35986327,129.9754726,"(255, 162, 113)","(94.35986326870696, 80, 67)",0.4
85.61941611,205.4025178,"(219, 222, 0)","(85.61941611415472, -21.56, 94.48)",98.24236851,205.4025178,"(255, 199, 255)","(98.24236850938694, 79.2, -107.86)",0
,,,,,,,,
50.8381186,44.14615785,"(116, 128, 0)","(50.8381186009144, -21.56, 94.48)",46.89530073,44.14615785,"(0, 137, 0)","(46.89530073430579, -86.18, 83.18)",-0.2
80.92827427,197.5853461,"(0, 234, 0)","(80.92827426559283, -86.18, 83.18)",96.62925011,197.5853461,"(255, 195, 255)","(96.62925011417141, 79.2, -107.86)",-0.1
82.26111015,206.92586,"(0, 238, 0)","(82.26111015497226, -86.18, 83.18)",85.81964511,206.92586,"(219, 222, 0)","(85.8196451059471, -21.56, 94.48)",-0.1
64.20456637,102.935312,"(0, 186, 0)","(64.20456636546645, -86.18, 83.18)",85.37484144,102.935312,"(255, 134, 90)","(85.37484143577153, 80, 67)",0
78.98898998,87.60668843,"(255, 114, 73)","(78.98898998040846, 80, 67)",64.67530718,87.60668843,"(155, 164, 0)","(64.67530718446747, -21.56, 94.48)",-0.1
75.38254208,161.45439,"(0, 218, 0)","(75.38254207927962, -86.18, 83.18)",89.38279105,161.45439,"(248, 174, 255)","(89.38279105166576, 79.2, -107.86)",-0.1
,,,,,,,,
95.05984188,132.3212162,"(255, 164, 115)","(95.05984188023166, 80, 67)",84.28359905,132.3212162,"(231, 159, 255)","(84.28359904996117, 79.2, -107.86)",-0.1
,,,,,,,,
93.34832953,181.5571746,"(255, 185, 255)","(93.34832952698476, 79.2, -107.86)",78.51576911,181.5571746,"(0, 227, 0)","(78.51576910705626, -86.18, 83.18)",0.2
72.23420972,142.3610057,"(0, 209, 0)","(72.23420972323218, -86.18, 83.18)",97.45140679,142.3610057,"(255, 171, 121)","(97.4514067877477, 80, 67)",0
,,,,,,,,
47.39606993,32.01501927,"(102, 57, 255)","(47.396069927320674, 79.2, -107.86)",41.24362578,32.01501927,"(0, 121, 0)","(41.24362577634448, -86.18, 83.18)",0.1
46.34852944,42.7682942,"(0, 136, 0)","(46.34852944251238, -86.18, 83.18)",50.32399037,42.7682942,"(114, 127, 0)","(50.323990371317606, -21.56, 94.48)",0
71.0976601,135.5235232,"(0, 206, 0)","(71.09766010340888, -86.18, 83.18)",84.94687721,135.5235232,"(233, 161, 255)","(84.94687721253268, 79.2, -107.86)",0
83.49467813,190.3845665,"(212, 216, 0)","(83.49467812606464, -21.56, 94.48)",95.14332779,190.3845665,"(255, 190, 255)","(95.14332778601703, 79.2, -107.86)",0
57.33812084,75.90795315,"(0, 166, 0)","(57.33812084024849, -86.18, 83.18)",72.03901332,75.90795315,"(255, 92, 56)","(72.03901331922661, 80, 67)",0.1
90.23622989,116.4829442,"(255, 149, 102)","(90.23622988602729, 80, 67)",71.02320037,116.4829442,"(174, 181, 0)","(71.02320037371001, -21.56, 94.48)",-0.1
71.54122004,138.1919797,"(0, 207, 0)","(71.54122003753051, -86.18, 83.18)",85.41174117,138.1919797,"(235, 163, 255)","(85.41174116520716, 79.2, -107.86)",-0.1
45.23005,29.9313081,"(93, 51, 255)","(45.23005000122061, 79.2, -107.86)",40.17942191,29.9313081,"(0, 119, 0)","(40.179421910712065, -86.18, 83.18)",0.2
46.03991692,41.99059064,"(0, 135, 0)","(46.03991692209996, -86.18, 83.18)",50.03380248,41.99059064,"(113, 126, 0)","(50.033802478989514, -21.56, 94.48)",0.1
42.76418233,34.99226901,"(0, 126, 0)","(42.764182332722726, -86.18, 83.18)",39.01053692,34.99226901,"(206, 0, 0)","(39.01053692193724, 80, 67)",0.3
64.08774884,85.42919721,"(154, 163, 0)","(64.08774884219766, -21.56, 94.48)",72.88048844,85.42919721,"(193, 128, 255)","(72.8804884431757, 79.2, -107.86)",0
,,,,,,,,
,,,,,,,,
79.53059529,188.0682994,"(0, 230, 0)","(79.53059528881602, -86.18, 83.18)",94.67065381,188.0682994,"(255, 189, 255)","(94.67065381255962, 79.2, -107.86)",0.2
68.34444415,121.3839097,"(0, 198, 0)","(68.34444414534057, -86.18, 83.18)",82.01820832,121.3839097,"(223, 153, 255)","(82.01820831598805, 79.2, -107.86)",0
89.89949114,164.4812191,"(249, 175, 255)","(89.89949114110908, 79.2, -107.86)",79.68042944,164.4812191,"(201, 205, 0)","(79.68042944196011, -21.56, 94.48)",0.3
58.24681774,47.71830733,"(142, 87, 255)","(58.2468177442696, 79.2, -107.86)",52.1710102,47.71830733,"(119, 132, 0)","(52.171010197891285, -21.56, 94.48)",0.4
47.59728639,37.2387356,"(107, 120, 0)","(47.59728639102634, -21.56, 94.48)",40.41306644,37.2387356,"(211, 0, 0)","(40.41306643597189, 80, 67)",0.3
83.59751674,129.0088108,"(229, 158, 255)","(83.59751674354503, 79.2, -107.86)",73.64257859,129.0088108,"(182, 189, 0)","(73.6425785942776, -21.56, 94.48)",-0.1
80.20751304,112.641873,"(217, 148, 255)","(80.20751303942545, 79.2, -107.86)",66.42396155,112.641873,"(0, 192, 0)","(66.42396154533085, -86.18, 83.18)",-0.1
68.98560534,124.3024755,"(0, 199, 0)","(68.98560533801653, -86.18, 83.18)",92.62606219,124.3024755,"(255, 156, 108)","(92.62606219396432, 80, 67)",0.2
95.12798737,190.3102268,"(255, 190, 255)","(95.1279873672885, 79.2, -107.86)",79.88002288,190.3102268,"(0, 231, 0)","(79.88002287747507, -86.18, 83.18)",0.1
68.12826318,70.82821097,"(255, 79, 45)","(68.12826318083081, 80, 67)",55.98352293,70.82821097,"(0, 162, 0)","(55.98352292531667, -86.18, 83.18)",-0.4
55.38728779,56.4603142,"(128, 140, 0)","(55.387287785291704, -21.56, 94.48)",50.63028833,56.4603142,"(245, 0, 0)","(50.630288334150485, 80, 67)",0.5
,,,,,,,,
,,,,,,,,
73.75158708,151.4895479,"(0, 213, 0)","(73.75158707963647, -86.18, 83.18)",87.68172548,151.4895479,"(242, 169, 255)","(87.68172548157955, 79.2, -107.86)",0.1
51.25160398,36.24220707,"(117, 68, 255)","(51.251603978130866, 79.2, -107.86)",43.40255724,36.24220707,"(0, 127, 0)","(43.40255723897246, -86.18, 83.18)",0.3
,,,,,,,,
,,,,,,,,
55.94232212,70.67370796,"(0, 162, 0)","(55.94232212334699, -86.18, 83.18)",60.10623528,70.67370796,"(142, 152, 0)","(60.10623528401274, -21.56, 94.48)",-0.4
67.34310914,68.2784476,"(174, 112, 255)","(67.34310914108856, 79.2, -107.86)",65.53704024,68.2784476,"(255, 70, 39)","(65.53704024447939, 80, 67)",0.5
86.74976403,106.7328483,"(255, 138, 93)","(86.74976403401006, 80, 67)",68.93389997,106.7328483,"(168, 176, 0)","(68.93389996969617, -21.56, 94.48)",0
66.23640983,68.96662727,"(255, 72, 41)","(66.23640983036546, 80, 67)",67.579597,68.96662727,"(175, 113, 255)","(67.57959700105829, 79.2, -107.86)",0.5
