Lab (g1),RGB (g1),Actual Luminance (g1),Lab (g2),RGB (g2),Actual Luminance (g2),Final Angular Velocity
"(52.0, 0, 0)","(123, 123, 123)",48,"(83.0, 0, 0)","(206, 206, 206)",199,0.6
"(52.0, 0, 0)","(123, 123, 123)",48,"(83.0, 0, 0)","(206, 206, 206)",199,0.5
"(52.0, 0, 0)","(123, 123, 123)",48,"(83.0, 0, 0)","(206, 206, 206)",199,0.7
,,,,,,
"(52.0, 0, 0)","(123, 123, 123)",48,"(83.0, 0, 0)","(206, 206, 206)",199,0.6
,,,,,,
"(52.0, 0, 0)","(123, 123, 123)",48,"(83.0, 0, 0)","(206, 206, 206)",199,0.6
"(52.0, 0, 0)","(123, 123, 123)",48,"(83.0, 0, 0)","(206, 206, 206)",199,0.7
,,,,,,
,,,,,,
"(52.0, 0, 0)","(123, 123, 123)",48,"(83.0, 0, 0)","(206, 206, 206)",199,0.8
,,,,,,
,,,,,,
"(52.0, 0, 0)","(123, 123, 123)",48,"(83.0, 0, 0)","(206, 206, 206)",199,0.9
,,,,,,
,,,,,,
"(52.0, 0, 0)","(123, 123, 123)",48,"(83.0, 0, 0)","(206, 206, 206)",199,0.6
"(52.0, 0, 0)","(123, 123, 123)",48,"(83.0, 0, 0)","(206, 206, 206)",199,0.7
"(52.0, 0, 0)","(123, 123, 123)",48,"(83.0, 0, 0)","(206, 206, 206)",199,0.7
"(52.0, 0, 0)","(123, 123, 123)",48,"(83.0, 0, 0)","(206, 206, 206)",199,0.6
"(52.0, 0, 0)","(123, 123, 123)",48,"(83.0, 0, 0)","(206, 206, 206)",199,0.8
"(52.0, 0, 0)","(123, 123, 123)",48,"(83.0, 0, 0)","(206, 206, 206)",199,0.7
"(52.0, 0, 0)","(123, 123, 123)",48,"(83.0, 0, 0)","(206, 206, 206)",199,0.7
"(52.0, 0, 0)","(123, 123, 123)",48,"(83.0, 0, 0)","(206, 206, 206)",199,0.6
"(52.0, 0, 0)","(123, 123, 123)",48,"(83.0, 0, 0)","(206, 206, 206)",199,0.7
,,,,,,
"(52.0, 0, 0)","(123, 123, 123)",48,"(83.0, 0, 0)","(206, 206, 206)",199,0.8
